Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
AT5G60890,MYB34,TF,AT5G60890.1,myb domain protein 34,"Myb-like transcription factor that modulates expression of ASA1, a key point of control in the tryptophan pathway; mutant has deregulated expression of ASA1 in dominant allele. Loss of function allele suggests ATR1 also functions at a control point for regulating indole glucosinolate homeostasis.","myb domain protein 34 (MYB34); FUNCTIONS IN: DNA binding, transcription activator activity, kinase activity, sequence-specific DNA binding transcription factor activity; INVOLVED IN: tryptophan biosynthetic process, response to jasmonic acid stimulus, defense response to insect, cellular response to sulfur starvation, indole glucosinolate biosynthetic process; LOCATED IN: nucleus; EXPRESSED IN: 6 plant structures; CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 122 (TAIR:AT1G74080.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",MYB34,myb domain protein 34
AT5G60910,FUL,TF,AT5G60910.2,AGAMOUS-like 8,MADS box gene negatively regulated  by APETALA1,"AGAMOUS-like 8 (AGL8); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: positive regulation of flower development, maintenance of inflorescence meristem identity, fruit development; LOCATED IN: nucleus; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Transcription factor, K-box (InterPro:IPR002487); BEST Arabidopsis thaliana protein match is: K-box region and MADS-box transcription factor family protein  (TAIR:AT1G69120.1); Has 3783 Blast hits to 3782 proteins in 618 species: Archae - 0; Bacteria - 2; Metazoa - 1; Fungi - 10; Plants - 3766; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).",FUL,FRUITFULL
AT5G60970,TCP5,TF,AT5G60970.1,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5",TCP gene involved in heterochronic control of leaf differentiation.,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5 (TCP5); CONTAINS InterPro DOMAIN/s: Transcription factor, TCP (InterPro:IPR005333), Transcription factor TCP subgroup (InterPro:IPR017887); BEST Arabidopsis thaliana protein match is: TCP domain protein 17 (TAIR:AT5G08070.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",TCP5,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5"
AT5G61190,AT5G61190,TF,AT5G61190.1,putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain,---,"putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain; FUNCTIONS IN: zinc ion binding, nucleic acid binding; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, U1-type (InterPro:IPR003604), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: Putative endonuclease or glycosyl hydrolase (TAIR:AT3G62200.1); Has 3024 Blast hits to 2428 proteins in 238 species: Archae - 10; Bacteria - 118; Metazoa - 1187; Fungi - 140; Plants - 554; Viruses - 10; Other Eukaryotes - 1005 (source: NCBI BLink).",---,---
AT5G61270,PIF7,TF,AT5G61270.2,phytochrome-interacting factor7,"Basic helix-loop-helix (bHLH) phytochrome interacting  factor. Interacts specifically with the far-red lightÒabsorbing Pfr form of phyB through a conserved  domain called the active phyB binding motif. Upon light exposure, PIF7 rapidly migrates to intranuclear  speckles, where it colocalizes with phyB. Role as negative regulator of phyB-mediated seedling deetiolation.","phytochrome-interacting factor7 (PIF7); CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT4G00050.1); Has 12429 Blast hits to 8555 proteins in 433 species: Archae - 0; Bacteria - 195; Metazoa - 4169; Fungi - 1073; Plants - 3281; Viruses - 14; Other Eukaryotes - 3697 (source: NCBI BLink).",PIF7,phytochrome-interacting factor7
AT5G61380,TOC1,TF,AT5G61380.1,CCT motif -containing response regulator protein,"Pseudo response regulator involved in the generation of circadian rhythms. TOC1 appears to shorten the period of circumnutation speed.  TOC1 contributes to the plant fitness (carbon fixation, biomass) by influencing the circadian clock period. PRR3 may increase the stability of TOC1 by preventing interactions between TOC1 and the F-box protein ZTL. Expression of TOC1 is correlated with rhythmic changes in chromatin organization.","TIMING OF CAB EXPRESSION 1 (TOC1); CONTAINS InterPro DOMAIN/s: CheY-like (InterPro:IPR011006), Signal transduction response regulator, receiver domain (InterPro:IPR001789), CCT domain (InterPro:IPR010402); BEST Arabidopsis thaliana protein match is: pseudo-response regulator 3 (TAIR:AT5G60100.3); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",TOC1,TIMING OF CAB EXPRESSION 1
AT5G61420,PMG1,TF,AT5G61420.2,myb domain protein 28,Encodes a putative transcription factor (MYB28).,"myb domain protein 28 (MYB28); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 29 (TAIR:AT5G07690.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",PMG1,PRODUCTION OF METHIONINE-DERIVED GLUCOSINOLATE 1
AT5G61430,NAC100,TF,AT5G61430.1,NAC domain containing protein 100,---,"NAC domain containing protein 100 (NAC100); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: multicellular organismal development, regulation of transcription; LOCATED IN: cellular_component unknown; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein 80 (TAIR:AT5G07680.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",NAC100,NAC domain containing protein 100
AT5G61590,AT5G61590,TF,AT5G61590.1,Integrase-type DNA-binding superfamily protein,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5.","Integrase-type DNA-binding superfamily protein; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G07580.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",---,---
AT5G61600,ERF104,TF,AT5G61600.1,ethylene response factor 104,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5.","ethylene response factor 104 (ERF104); CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G51190.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ERF104,ethylene response factor 104
AT5G61890,AT5G61890,TF,AT5G61890.1,Integrase-type DNA-binding superfamily protein,encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.,"Integrase-type DNA-binding superfamily protein; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G07310.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",---,---
AT5G62000,ORE14,TF,AT5G62000.4,auxin response factor 2,"Encodes an auxin response factor. Mutants have many defects including enlarged rosette leaves, reduced fertility, later senescence, hypocotyl elongation defects, enlarged seeds and enlarged cotyledons. May not mediate auxin effects. Increase in seed size due to increased cell proliferation.","auxin response factor 2 (ARF2); FUNCTIONS IN: protein binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: in 7 processes; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), Transcriptional factor B3 (InterPro:IPR003340), AUX/IAA protein (InterPro:IPR003311), Auxin response factor (InterPro:IPR010525); BEST Arabidopsis thaliana protein match is: auxin response factor 1 (TAIR:AT1G59750.2).",ORE14,ORESARA 14
AT5G62020,HSFB2A,TF,AT5G62020.1,heat shock transcription factor  B2A,member of Heat Stress Transcription Factor (Hsf) family,"heat shock transcription factor  B2A (HSFB2A); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to chitin; LOCATED IN: nucleus; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991), Heat shock factor (HSF)-type, DNA-binding (InterPro:IPR000232); BEST Arabidopsis thaliana protein match is: winged-helix DNA-binding transcription factor family protein (TAIR:AT4G11660.1); Has 2147 Blast hits to 2134 proteins in 224 species: Archae - 0; Bacteria - 0; Metazoa - 368; Fungi - 473; Plants - 782; Viruses - 0; Other Eukaryotes - 524 (source: NCBI BLink).",HSFB2A,heat shock transcription factor  B2A
AT5G62380,VND6,TF,AT5G62380.1,NAC-domain protein 101,"Encodes a NAC-domain transcription factor involved in xylem formation. Induces transdifferentiation of various cells into metaxylem vessel elements. Located in the nucleus. Expression induced in the presence of auxin, cytokinin and brassinosteroids.",NAC-domain protein 101 (NAC101); CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC 007 (TAIR:AT1G12260.1); Has 3040 Blast hits to 3031 proteins in 75 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3040; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,VND6,VASCULAR-RELATED NAC-DOMAIN 6
AT5G62430,CDF1,TF,AT5G62430.1,cycling DOF factor 1,"Dof-type zinc finger domain-containing protein, similar to H-protein promoter binding factor-2a GI:3386546 from (Arabidopsis thaliana). Represses expression of Constans (CO), a circadian regulator of flowering time.  Interacts with LKP2 and FKF1. Expression oscillates under constant light conditions. Mainly expressed in the vasculature of cotyledons, leaves and hypocotyls, but also in stomata. Localized to the nucleus and acts as a repressor of CONSTANS through binding to the Dof binding sites in the CO promoter. Protein gets degraded by FKF1 in the afternoon.","cycling DOF factor 1 (CDF1); CONTAINS InterPro DOMAIN/s: Zinc finger, Dof-type (InterPro:IPR003851); BEST Arabidopsis thaliana protein match is: cycling DOF factor 3 (TAIR:AT3G47500.1); Has 1130 Blast hits to 1085 proteins in 56 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1125; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",CDF1,cycling DOF factor 1
AT5G62470,MYBCOV1,TF,AT5G62470.2,myb domain protein 96,Encodes a R2R3 type Myb transcription factor whose expression is strongly induced by abscisic acid. Mediates abscisic acid signaling during drought stress response.,"myb domain protein 96 (MYB96); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Homeodomain-like (InterPro:IPR009057), Myb, DNA-binding (InterPro:IPR014778), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495); BEST Arabidopsis thaliana protein match is: myb domain protein 94 (TAIR:AT3G47600.1); Has 9691 Blast hits to 8398 proteins in 583 species: Archae - 0; Bacteria - 56; Metazoa - 899; Fungi - 554; Plants - 5844; Viruses - 4; Other Eukaryotes - 2334 (source: NCBI BLink).",MYBCOV1,---
AT5G62610,AT5G62610,TF,AT5G62610.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,---,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein; FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092), Helix-loop-helix DNA-binding (InterPro:IPR011598); BEST Arabidopsis thaliana protein match is: BIG PETAL P (TAIR:AT1G59640.1); Has 2341 Blast hits to 2333 proteins in 124 species: Archae - 0; Bacteria - 0; Metazoa - 18; Fungi - 49; Plants - 2274; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",---,---
AT5G62940,HCA2,TF,AT5G62940.1,Dof-type zinc finger DNA-binding family protein,HCA2 induces the formation of interfascicular  cambium and regulates vascular tissue development in the aerial parts of the plant. Evidence from both gain of function and dominant negative alleles.,"HIGH CAMBIAL ACTIVITY2 (HCA2); CONTAINS InterPro DOMAIN/s: Zinc finger, Dof-type (InterPro:IPR003851); BEST Arabidopsis thaliana protein match is: TARGET OF MONOPTEROS 6 (TAIR:AT5G60200.1); Has 1915 Blast hits to 1778 proteins in 135 species: Archae - 0; Bacteria - 49; Metazoa - 135; Fungi - 61; Plants - 1116; Viruses - 0; Other Eukaryotes - 554 (source: NCBI BLink).",HCA2,HIGH CAMBIAL ACTIVITY2
AT5G63080,AT5G63080,TF,AT5G63080.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,---,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein; CONTAINS InterPro DOMAIN/s: Transcription factor jumonji/aspartyl beta-hydroxylase (InterPro:IPR003347), Transcription factor jumonji (InterPro:IPR013129); BEST Arabidopsis thaliana protein match is: transferases, transferring glycosyl groups (TAIR:AT1G78280.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",---,---
AT5G63260,AT5G63260,TF,AT5G63260.2,Zinc finger C-x8-C-x5-C-x3-H type family protein,---,"Zinc finger C-x8-C-x5-C-x3-H type family protein; FUNCTIONS IN: zinc ion binding, nucleic acid binding; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571); BEST Arabidopsis thaliana protein match is: Zinc finger C-x8-C-x5-C-x3-H type family protein (TAIR:AT3G48440.1).",---,---
AT5G63280,AT5G63280,TF,AT5G63280.1,C2H2-like zinc finger protein,---,"C2H2-like zinc finger protein; FUNCTIONS IN: zinc ion binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system, intracellular; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C2H2-like (InterPro:IPR015880), Zinc finger, C2H2-type (InterPro:IPR007087); BEST Arabidopsis thaliana protein match is: zinc finger (C2H2 type) family protein (TAIR:AT5G40710.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",---,---
